,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
152,0,7920.51,7301.82,7445.42,1239.83,10255.23,3872.21,9687.55,12525.09
153,0,7941.72,7374.96,7448.05,1237.08,10298.8,3951.96,9818.75,12530.43
154,0,7888.99,7357.97,7461.35,1091.11,10319.15,3980.48,9798.58,12523.94
155,0,7853.24,7371.98,7473.89,1080.21,10313.86,3830.71,9836.59,12524.03
156,0,7860.09,7397.78,7460.21,1105.5,10275.38,3741.27,9727.86,12524.74
157,0,7850.52,7464.59,7401.33,1159,10250.56,3642.88,9767.18,12546.65
158,0,7817.23,7451.56,7385.68,1116.88,10251.97,3803.47,9745.61,12560.72
159,0,7781.33,7446.86,7375.6,1068.25,10212.25,3633.47,9661.91,12554.78
160,0,7827.14,7438.78,7395.28,1170.5,10248.57,3642.88,9743.84,12556.28
161,0,7765.02,7315.09,7423.57,1194.91,10234.68,3674.31,9764.92,12544.13
162,0,7695.92,7539.86,7335.29,1228.33,10262.68,3843.69,9800.21,12579.81
163,0,7736.62,7477.69,7436.39,1215.06,10284.2,3718.21,9767.74,12566.63
164,0,7747.58,7498.04,7465.09,1217.37,10293.39,3701.51,9786.33,12592.09
165,0,7697.99,7509.36,7504.48,1155.17,10277.31,3699.4,9817.37,12589.61
166,0,7697.15,7496.5,7509.81,1160.7,10334.33,3752,9824.18,12575.65
167,0,7665.83,7694.64,7428.63,1375.1,10305.1,4004.12,9837.81,12609.67
168,0,7754.28,7490.85,7508.26,1381.27,10329.96,3669.02,9801.21,12601.8
169,0,7793.04,7484.03,7489.91,1370.19,10325.96,3664.03,9794.04,12616.63
170,0,7788.9,7402.41,7489.67,1333.21,10332.39,3714.7,9768.22,12598.43
171,0,7767.39,7337.82,7510.26,1343.04,10316.95,3812.9,9872.33,12604.89
172,0,7765.23,7478.48,7400.58,1476.75,10362.14,3782.29,9911,12620.49
173,0,7795.16,7471.92,7510.39,1517.78,10372.57,3742.29,9929.72,12602.7
174,0,7814.09,7499.26,7540.96,1542.14,10362.47,3911.83,9832.31,12614.68
175,0,7807.54,7385.53,7558.67,1497.73,10332.26,3799.87,9692.47,12601.94
176,0,7596.63,7205.08,7475.92,1433.88,10327.19,3655.06,9656.89,12574.34
177,0,7510.39,7253.01,7278.58,1290.8,10332.02,3737.11,9626.28,12583.98
178,0,7278.62,7413.45,7450.11,1560.44,10327.69,3765.12,9685.01,12591.88
179,0,7359.3,7482.3,7478.27,1569.85,10327.92,3502.11,9747.41,12610.94
180,0,7203.55,7477.15,7343.4,1546.7,10247.94,3491.56,9763.99,12615.98
181,0,6815.88,7439.58,6922.77,1641.63,9892.95,3197.77,9838.22,12663.51
182,0,6733.47,7644.37,6708.72,1664.78,10001.99,3214.87,9921.01,12670.74
183,0,6765.43,7683.45,6935.93,1753.41,10028.35,3179.94,9963.46,12684.6
184,0,6955.66,7698.88,6832.14,1657.32,10018.59,3265.73,9928.63,12672.8
185,0,6829.77,7716.26,6856.41,1250.46,10019.63,3359.48,9890.47,12632
186,0,6535.72,7685.78,6885.03,1245.83,9969.93,3444.73,9873.31,12583.55
187,0,6410.58,7549.9,6787.83,1384.57,9976.33,3421.84,9861.76,12538.59
188,0,6277.4,7317.83,6945.02,1357.26,9967.74,3442.11,9715.31,12461.57
189,0,6082.13,6949.68,6647,1328.07,9874.48,3375.92,9621.66,12371.51
190,0,6235.07,7035.72,6790.14,1258.94,9851.28,3361.56,9619.92,12378.05
191,0,6284.78,7120.06,6890.31,1302.43,9896.24,3352.23,9604.89,12419.78
192,0,6828.19,7157.03,6834.25,1235.52,9937.84,3381,9673.47,12446.61
193,0,6911.32,7220.04,6767.19,1339.86,10009.22,3435.1,9688.75,12463.37
194,0,7042.99,7256.16,6703.95,1383.87,10027.14,3396.02,9715.92,12500.14
195,0,7198.55,7255.96,6765.03,1394.82,10071.4,3412.02,9754.52,12525.7
196,0,7179.35,7218.85,6685.21,1381.67,10090.53,3410.89,9738.64,12523.68
197,0,7258.91,7154.63,6651.74,1347.71,10072.1,3425.95,9765.14,12521
198,0,7291.39,7268.06,6759.01,1354.18,10075.9,3383.41,9840.46,12549.66
199,0,7297.73,7251.35,6772.26,1563.71,10094.26,3508.81,9839.3,12536.9
200,0,7291.8,7105.61,6686.5,1559.12,10169.71,3522.83,9827.3,12540.82
201,0,7235.52,6687.82,6676.68,1342.6,10134.18,3420.63,9639.12,12542.5
202,0,7320.92,6986.72,6764.51,1466.01,10142.87,3294.81,9695.42,12580.82
203,0,7453.4,7100.21,7004.1,1675.82,10178.08,3362.09,9755.23,12592.27
204,0,7459.36,7115.36,7102.76,1694.84,10180.86,3438.87,9804.14,12619.43
205,0,8867.49,7087.68,7195.73,1719.58,10249.72,3661.96,9726.4,12756.73
206,0,8051.91,7185.74,7341.67,1613.74,10255.35,3644.91,9625.94,12822.31
207,0,7555.11,7518.08,6667.75,1586.49,10246.23,3537.2,9529.74,12705.65
208,0,6381.53,7573.84,6051.6,1389.24,10230.08,3317.63,9480.03,12489.66
209,0,4999.29,6452.42,5852.19,603.17,10069,2903.19,8701.29,12208.95
210,0,4785.8,5962.1,5909.76,229.7,9930.08,3084.08,8089.72,12206.07
211,0,4253.94,5831.53,5378.27,16.5,9614.86,3478.59,7274.32,12310.14
212,0,4076.98,5677.25,5257.79,129.8,8972.72,4548.87,7484.56,12287.79
213,0,4341.17,5515.52,4222.88,16.79,9067.34,4005.48,7690.4,12115.06
214,0,5323.47,5993.46,5214.33,417.78,9283.09,4673.26,8612.61,11628.32
215,0,5286.56,6224.7,5805,176.6,9512.54,3973.59,9012.24,11607.22
216,0,5907.93,5707.86,6884.47,184.24,9253.74,5069.14,9302.15,11427.01
217,0,4393.8,4429.81,6916.56,17.24,8609.5,3512.57,9152.54,10821.89
218,0,3638.06,4886.86,5566.51,16.43,8756.19,3028.12,8895.82,11021.84
219,0,3710.04,5307.64,6007.82,238.24,9071.24,3064.05,9265.69,11204.13
220,0,4002.34,6312.15,5982.11,199.04,9142.46,2766.72,9347.87,11425.35
221,0,4671.1,6770.65,6699.5,196.67,9349.16,2966.03,9456.16,11610.85
222,0,5211.44,6998.67,7074.87,404.54,9526.54,3184.59,9528.1,11745.53
223,0,5691.8,7001.06,7148.23,324.02,9611.81,3114.73,9638.51,11754.21
224,0,7097.36,7516.61,7616.9,676.33,9681.98,2813.91,10072.56,12117.91
225,0,8454.39,8029.55,8112.19,1111.3,9941.97,2888.87,10242.43,12400.93
226,0,9218.75,8189.83,8456.37,1504.9,10136.05,2995.51,10530.9,12613.25
227,0,8996.11,8057.23,8439.14,1479.85,10131.47,3021.89,10497.67,12594.95
228,0,8943.56,7896.93,8456.17,1212.79,10030.4,2972.89,10452.13,12569.82
229,0,9317.1,8124.74,8502.64,1362.66,10216.93,3095.29,10628.44,12715.27
230,0,9407.72,8060.86,8527.97,1485.89,10232.78,3115.96,10579.22,12773.08
231,0,7850.33,7140.19,7138.92,1091.97,9871.77,2827.32,9981.74,12226.44
232,0,6627.6,6580.51,7286.97,437.28,9581.59,2838.82,9835.2,12073.59
233,0,5403.5,6231.48,5942.85,42.47,9426.59,2436.94,9509.97,11746.88
234,0,5445.22,6335.11,6535.68,17.2,9469.23,2597.32,9657.88,11830.17
235,0,6698.05,7151.94,7373.53,464.27,9615.2,3028.4,9939.04,12138.3
236,0,8266.1,7746.29,7776.5,1094.78,9860.66,3121.89,10315.07,12463.16
237,0,8063.78,7492.28,7694.65,1034.84,9764.13,3083.83,10206.82,12450.92
238,0,8010.12,7301.89,7540.91,1075.53,9735.78,3086.65,10180.43,12390.14
239,0,7846.51,7275.97,7507.36,1150.78,9752.47,3104.92,10180.06,12404.59
240,0,7739.76,7247.8,7560.69,1110.84,9798.23,3083.06,10137.5,12349.58
241,0,7784.01,6928.21,7548.45,1070.06,9808.07,3086.31,10079.91,12325.75
242,0,7537.52,6896.05,7506.09,943.48,9794.46,3039.68,10071.69,12282.62
243,0,7426.16,6856.86,7509.51,952.35,9803.74,3034.07,10041.93,12292.19
244,0,7349.27,6910.22,7437.55,987.26,9864.63,3064.91,10066.27,12292.88
245,0,7603.69,6761.44,7486.67,1017.19,9824.7,3047.73,10076.08,12282
246,0,7588.04,6872.65,7506.74,1034.43,9838.65,3043.93,10103.72,12309.95
247,0,7620.01,6870.2,7513.16,1036.46,9839.17,3045.34,10102.66,12302.28
248,0,7636.5,6878.72,7476.36,1078.63,9853.54,3046.32,10105.27,12288.34
249,0,8211.06,6887.58,7512.85,1114.03,9918.01,3126.77,10116.38,12433.46
250,0,8128.76,6933.5,7557.32,1177.42,9952.35,3150.32,10117.71,12406.49
251,0,8323.66,7088.52,7568.58,1230.65,9953.55,3092.89,10154.41,12444.36
252,0,8237.2,6991.5,7570.13,1194.99,9964.65,3116.18,10211.16,12414.65
253,0,8198.65,7001.25,7492.78,1204.61,9902.9,3098.29,10147.47,12398.26
254,0,8200.24,7055.08,7458.97,1195.64,9949.56,3115.29,10220.02,12426.98
255,0,8086.68,6972.73,7493.14,1190.98,9950.31,3126.59,10144.92,12403.16
256,0,8270.35,6923.33,7524.92,1214.1,9920.59,3133.7,10155.6,12411.06
257,0,8174.4,6842.25,7494.93,1133.36,9912.69,3122.04,10136.27,12356.86
258,0,7894.32,6686.5,7419.48,1100.77,9916.94,3095.51,10120.01,12320.91
259,0,7776.72,6806.78,7337.18,1153.92,9976.15,3115.3,10135.8,12388.64
260,0,7695.64,6688.16,7326.97,1107.81,9938.32,3097.06,10107.87,12327.45
261,0,7779.68,6719.89,7368.52,1145.8,9963.39,3113.4,10121.18,12341.4
262,0,7740.08,6719.18,7324,1156.16,9985.83,3109.15,10118.83,12321.14
263,0,7735.8,6744.35,7355.78,1187.51,9955.6,3072.52,10113.36,12361.01
264,0,7849.78,6847.96,7341.55,1186.42,9964.16,3101.44,10125.61,12422.43
265,0,8092.34,6970.34,7469.39,1184.99,10027.52,3188.17,10114.8,12486.53
266,0,8119.24,7122.24,7573.5,1235.65,10063.48,3343.71,10117.92,12596.25
267,0,7799.51,7144.12,7783.75,1221.18,10066.34,3336.58,10071.2,12654.73
268,0,7785.06,7147.21,7933.68,1165.47,10055.05,3342.17,10086.28,12680.7
269,0,7701.31,7168.7,7900.26,1113.06,10044.31,3253.13,10120.08,12670.29
270,0,7723.6,7177.08,7892.62,1159.07,10065.31,3230.88,10120.72,12650.09
271,0,7973.46,7224.41,7941.89,1177.15,10021.69,3181.27,10142.46,12657.06
272,0,7972.31,7297.75,7923.11,1148.8,10013.16,3165.21,10151.62,12655.98
273,0,7872.13,7269.54,7905.06,1096.05,10000.39,3166.39,10131.76,12635.38
274,0,7901.25,7222.76,7917.68,1078.37,10037.76,3098.06,10133.44,12636.44
275,0,8183.71,7348.75,7854.17,1166.64,10148.42,3141.75,10155.85,12686.71
276,0,8168.69,7359.93,7903.15,1159.32,10074.06,3163.18,10157.73,12682.21
277,0,8179.29,7360.68,7903.83,1164.26,10071.48,3168.31,10162.1,12669.88
278,0,8167.16,7356.46,7903.29,1162.46,10062.84,3172.51,10169.43,12658.02
279,0,7941.42,7275.38,7923.03,1122.11,10052.57,3202.28,10164.03,12645.83
280,0,7707.95,7286.47,7875.44,1093.78,10134.45,3229.39,10169.04,12647.63
281,0,7393.58,7275.16,7883.93,1047.18,10054.06,3204.5,10143.18,12592.53
282,0,7241.72,7012.46,7809.54,1003.99,10131.95,3162.94,10084.25,12485.44
283,0,7432.97,7217.19,7869.6,1038.8,10116.47,3206.77,10130.07,12541.99
284,0,7480.45,7231.34,7878.89,1051.95,10120.16,3182.72,10133.65,12532.61
285,0,7363.81,7237.11,7827.6,1040.99,10127.63,3251.7,10155.53,12563.07
286,0,7457.47,7245.31,7866.46,1042.99,10053.63,3232.25,10122.23,12499.5
287,0,7421.03,7244.08,7864.4,1009.63,10058.7,3247.03,10123.69,12505.21
288,0,7423.06,7171.33,7898.08,994.5,10049.7,3190.67,10098.33,12435.56
289,0,7483.95,7117.3,7910.72,981.9,10030.79,3169.24,10091.39,12506.64
290,0,7415.89,7246.35,7855.04,996.5,10059.85,3223.88,10116.37,12546.7
291,0,7380.41,7227.74,7880.39,948,10080.84,3260.2,10098.75,12523.71
292,0,7431.18,7196.39,7904.67,950.51,10061.35,3271.13,10107.73,12508.62
293,0,7441.99,7046.53,7879.32,967.64,10059.78,3269.05,10098.46,12493.91
294,0,7489.39,6994.76,7887.67,924.98,10031.54,3224.37,10108.37,12503.69
295,0,7587.82,7151.39,7902.3,992.65,10133.66,3255.84,10139.47,12578.96
296,0,7606.1,7261.98,7929.41,1043.56,10191.58,3209.94,10140.73,12604.81
297,0,7646.62,7268.64,7940.99,1028.76,10194.56,3213.54,10147.61,12595.13
298,0,7615.97,7250.48,7935.89,1042.75,10197.91,3208.9,10151.1,12545.55
299,0,7628.37,7237.22,7965.17,1030.6,10210.12,3195.2,10141.89,12577.82
300,0,7665.92,7280.54,7905.1,1047.17,10253.24,3218.92,10139.99,12617.9
301,0,7648.45,6887.36,7889.44,1043.72,10186.06,3223.74,10123.25,12486.85
302,0,7733.9,7117.46,8006.63,1028.51,10243.58,3235.73,10148.25,12586.19
303,0,7744.83,7055.63,7997.54,1053.81,10246.66,3284.35,10153.37,12576.56
304,0,7727.62,6908.32,7982.7,1057.64,10213.01,3284.48,10151.84,12530.86
305,0,7690.85,7125.84,7867.55,1087.6,10257.15,3251.27,10164.9,12608.97
306,0,7721.04,7066.97,7944.99,1109.16,10221.33,3283.64,10156.26,12604.29
307,0,7776.44,7098.8,7954.34,1117.33,10244.28,3280.23,10167.99,12613.03
308,0,7817.61,6916.71,7969.99,1118.81,10187.95,3226.78,10168.95,12590.39
309,0,7833.9,6915.47,7971.22,1101.18,10113.5,3218.66,10172.08,12579.09
310,0,7829.4,7162.53,7941.48,1122.89,10256.27,3180.75,10169.33,12633.03
311,0,7883.67,7160.18,7998.15,1119.1,10167.31,3168.19,10178.84,12620.25
312,0,7938.58,7249.08,8046.03,1131.77,10159.1,3157.74,10172.03,12623.65
313,0,7978.84,7272.93,8053.55,1144.44,10172.54,3186.4,10178.81,12629.78
314,0,7994.92,7303.05,8057.15,1140.7,10169.26,3183.74,10182.23,12620.59
315,0,7976.53,7351.97,8009.1,1144.59,10206.06,3036.72,10178.43,12649.38
316,0,8049.43,7357.98,8048.85,1154.63,10193.02,3009.49,10182.52,12651.35
317,0,8071.4,7352.33,8053.03,1175.57,10273.6,3035.61,10180.84,12656
318,0,8129.5,7345.55,8070.4,1196.8,10270.32,3054.42,10184.19,12658.38
