,Unnamed: 0,label,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8
172,172.0,1.0,20.95,18.8,20.07,21.54,21.96,20.06,20.98,17.8
173,173.0,1.0,21.16,19.7,20.0,20.82,21.84,21.77,21.58,18.94
174,174.0,1.0,20.24,18.03,21.42,20.29,24.9,20.66,22.0,18.05
175,175.0,1.0,20.77,17.02,21.24,22.95,21.7,21.56,21.16,17.87
176,176.0,1.0,20.3,18.42,18.57,21.25,22.93,20.14,21.79,19.55
177,177.0,1.0,22.32,16.75,21.15,23.25,23.77,18.91,21.33,18.69
178,178.0,1.0,21.38,17.69,22.02,22.16,23.55,20.22,21.54,19.8
179,179.0,1.0,20.43,18.47,20.68,21.03,22.69,19.1,21.62,17.7
180,180.0,1.0,20.11,17.41,20.82,21.18,22.89,21.36,20.91,17.73
181,181.0,1.0,20.29,16.74,20.95,22.77,22.52,21.79,21.82,18.83
182,182.0,1.0,20.26,17.69,21.42,20.07,22.82,20.92,20.98,19.05
183,183.0,1.0,20.04,18.09,22.49,22.39,22.05,19.35,20.56,20.06
184,184.0,1.0,21.62,19.45,22.17,22.54,22.06,20.87,21.02,19.87
185,185.0,1.0,21.05,17.6,21.07,20.51,22.33,21.2,22.1,19.04
186,186.0,1.0,21.05,18.45,21.11,20.52,24.65,20.72,21.75,20.3
187,187.0,1.0,21.32,17.95,20.87,20.86,23.95,21.06,21.33,19.05
188,,,0,0,0,0,0,0,0,0
189,,,1226.77,1041.65,1165.84,1238.01,1299.12,1183.73,1226.57,1084.5
190,,,22.92,17.8,21.12,23.88,23.29,20.06,22.74,19.85
191,,,22.11,17.06,19.39,23.09,23.83,20.13,22.07,18.59
192,,,21.89,19.28,21.01,23.36,23.57,20.33,22.53,18.38
193,,,21.5,17.35,20.94,21.09,24.52,20.22,22.66,18.85
194,,,20.2,18.96,20.81,22.91,25.26,20.89,21.32,19.24
195,,,20.64,19.24,19.9,21.18,23.85,19.56,21.62,19.55
196,,,20.24,17.14,19.66,21.33,22.68,21.06,21.63,19.67
197,,,21.02,18.91,20.35,21.32,22.04,20.77,20.98,18.11
198,,,21.45,19.21,20.2,21.64,23.04,20.62,21.15,18.22
199,,,20.51,18.42,19.4,21.33,23.28,21.66,21.33,18.07
200,,,21.48,18.73,20.18,21.3,23.83,22.19,22.69,18.61
201,,,21.28,19.36,20.14,21.07,23.39,20.92,21.05,20.34
202,,,22.14,18.12,20.62,22.59,24.4,20.16,20.6,17.72
203,,,20.27,18.35,20.64,20.26,22.26,21.71,22.13,20.08
204,,,22.22,19.52,21.83,20.56,25.21,20.96,21.62,19.16
205,,,22.05,17.58,21.66,20.95,21.94,21.07,21.28,18.22
